PhraseID,PL
QID138_Choice17,"Korzystamy z możliwości automatycznego ustalania stawek, podając tylko cel kampanii (np. docelowy CPA), budżet i zasoby kreacji w sieci wyszukiwania i reklamowej."
QID134_QuestionText,Czy Twoja firma korzysta z platformy DSP?
QID134_Choice1,Nie lub nie wiem.
QID134_Choice2,"Tak, obsługiwanej przez partnera zewnętrznego (np. agencję)."
QID134_Choice3,"Tak, obsługiwanej przez nas."
QID134_Choice4,"Tak, obsługiwanej przez nas i połączonej z innymi systemami (np. narzędziem analityki internetowej)."
QID135_QuestionText,Które stwierdzenie najlepiej opisuje sposób konfiguracji i zarządzania kampaniami w Twojej organizacji?
QID135_Choice1,Nie wiem lub konfiguracją kampanii i zarządzaniem nimi zajmuje się w pełni partner agencyjny.
QID135_Choice2,Korzystamy głównie z istniejącego interfejsu użytkownika platformy reklamowej do konfigurowania naszych kampanii i zarządzania nimi.
QID135_Choice3,"Korzystamy głównie z istniejącego interfejsu użytkownika platformy, ale wykorzystujemy też interfejsy API do konfigurowania naszych kampanii i raportowania."
QID135_Choice4,Korzystamy intensywnie z interfejsów API platformy i strukturalnych plików danych do konfiguracji kampanii i raportowania.
QID135_Choice5,"Korzystamy w pełni z różnych interfejsów API platformy i strukturalnych plików danych do konfiguracji, utrzymywania i optymalizacji kampanii, a także raportowania."
QID186_QuestionText,"<div class=""dmb-survey-banner""><div class=""dmb-survey-banner__logo""><svg width=""68px"" height=""22px"" viewBox=""0 0 68 22"" xmlns=""http://www.w3.org/2000/svg""><g fill=""none"" fill-rule=""evenodd""><path d=""M8.53 16.814C3.895 16.814 0 13.042 0 8.407 0 3.773 3.896 0 8.53 0c2.563 0 4.388 1.005 5.762 2.317l-1.62 1.62c-.984-.923-2.317-1.64-4.143-1.64-3.382 0-6.027 2.727-6.027 6.11 0 3.383 2.645 6.11 6.027 6.11 2.195 0 3.445-.881 4.245-1.681.656-.656 1.087-1.6 1.25-2.891H8.53V7.648h7.73c.083.41.124.903.124 1.435 0 1.723-.472 3.856-1.989 5.373-1.476 1.538-3.363 2.358-5.865 2.358z"" fill=""#4285F4""></path><path d=""M26.004 11.4c0-1.947-1.39-3.28-3-3.28s-3 1.333-3 3.28c0 1.928 1.39 3.281 3 3.281s3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413s-5.335-2.297-5.335-5.413c0-3.138 2.396-5.413 5.335-5.413 2.94 0 5.335 2.275 5.335 5.413"" fill=""#EA4335""></path><path d=""M37.964 11.4c0-1.947-1.389-3.28-3-3.28-1.61 0-3 1.333-3 3.28 0 1.928 1.39 3.281 3 3.281 1.611 0 3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413-2.94 0-5.335-2.297-5.335-5.413 0-3.138 2.395-5.413 5.335-5.413s5.335 2.275 5.335 5.413"" fill=""#FBBC05""></path><path d=""M49.869 11.421c0-1.906-1.272-3.302-2.891-3.302-1.64 0-3.014 1.396-3.014 3.302 0 1.887 1.374 3.26 3.014 3.26 1.62 0 2.89-1.373 2.89-3.26zm2.091-5.106v9.72c0 3.998-2.358 5.639-5.146 5.639-2.625 0-4.203-1.764-4.798-3.2l2.07-.86c.37.88 1.272 1.927 2.728 1.927 1.783 0 2.891-1.107 2.891-3.178v-.78h-.083c-.533.657-1.558 1.23-2.849 1.23-2.707 0-5.187-2.357-5.187-5.392 0-3.055 2.48-5.434 5.187-5.434 1.291 0 2.316.575 2.85 1.21h.082v-.882h2.255z"" fill=""#4285F4""></path><path fill=""#34A853"" d=""M53.75 16.486h2.379V.574h-2.38z""></path><path d=""M59.8 11.237l4.839-2.01c-.268-.676-1.067-1.148-2.01-1.148-1.21 0-2.89 1.066-2.83 3.158m5.68 1.948l1.845 1.23c-.594.882-2.03 2.399-4.51 2.399-3.075 0-5.297-2.379-5.297-5.413 0-3.22 2.241-5.414 5.03-5.414 2.809 0 4.183 2.235 4.634 3.445l.245.615-7.238 2.994c.555 1.086 1.415 1.64 2.626 1.64 1.209 0 2.05-.594 2.665-1.496"" fill=""#EA4335""></path></g></svg></div><div class=""dmb-survey-banner__title"">${e://Field/company_name} <br>➘➘➘Ocena dojrzałości cyfrowej➘➘➘</div></div>"
QID139_QuestionText,"<h2 class=""dmb-dimension-header h-c-headline h-c-headline--two""><img class=""dmb-dimension-header__icon dmb-u-m-b-s"" src=""${e://Field/static_url}/img/${e://Field/tenant}/dimensions/attribution.svg"">➘➘➘Atrybucja➘➘➘</h2>➘➘➘Jakie metody śledzenia i tagowania zostały wdrożone w Twojej organizacji?"
QID139_Choice1,Cyfrowe śledzenie i tagowanie w niektórych kanałach.
QID139_Choice2,Różne formy cyfrowego śledzenia i tagowania we wszystkich kanałach.
QID139_Choice3,Zunifikowane konwencje nazewnictwa dla cyfrowego śledzenia i tagowania we wszystkich kanałach i dla najważniejszych wydarzeń na naszych stronach internetowych.
QID139_Choice4,"Spójne śledzenie cyfrowe za pomocą tagów w kontenerze we wszystkich witrynach i aplikacjach, wszystkie kampanie są oznaczone tagami. Ważne wydarzenia offline są przechwytywane."
QID143_QuestionText,Z której z tych metod pomiarowych korzysta Twoja firma? (Zaznacz wszystkie prawidłowe odpowiedzi).
QID143_Choice1,Śledzenie popularności marki.
QID143_Choice2,Ankiety konsumenckie.
QID143_Choice3,Modelowanie marketing miksu (ekonometria).
QID143_Choice4,Kontrolowane eksperymenty (np. eksperymenty geograficzne).
QID143_Choice5,Modelowanie atrybucji.
QID146_QuestionText,Jak często Twoja firma przeprowadza testy A/B? (Wybierz najtrafniejszą opcję).
QID146_Choice1,Nie przeprowadzamy testów A/B.
QID146_Choice2,Rzadziej niż raz na kwartał.
QID146_Choice3,Raz w miesiącu.
QID146_Choice4,Raz w tygodniu.
QID146_Choice5,Częściej niż raz w tygodniu.
QID140_QuestionText,Których z następujących danych skuteczności używa Twoja firma do oceny skuteczności działań marketingowych? (Zaznacz wszystkie prawidłowe odpowiedzi).
QID140_Choice1,Dane kampanii (np. koszt kliknięcia).
QID140_Choice2,Dane konwersji (np. liczba konwersji).
QID140_Choice3,Dane będące odpowiednikami konwersji (np. wzrost liczby wizyt w sklepach stacjonarnych lub potencjalnych klientów zainteresowanych jazdą próbną).
QID140_Choice4,Dane przychodów i rentowności (np. łączne przychody lub zwrot z nakładów na reklamę).
QID140_Choice5,Przyrostowe przychody i długookresowa wartość klienta.
QID141_QuestionText,Czy Twoja organizacja lub agencja korzysta zawsze z jednego pakietu analityki internetowej?
QID141_Choice1,Nie lub nie wiem.
QID141_Choice2,"Tak, obsługiwanego przez partnera zewnętrznego (np. agencję)."
QID141_Choice3,"Tak, obsługiwanego przez nas."
QID141_Choice4,"Tak, obsługiwanego przez nas i połączonego z innymi systemami (np. platformą DSP)."
QID144_QuestionText,Jaki model atrybucji Twoja organizacja wykorzystuje najczęściej w kanałach internetowych?
QID144_Choice1,Nie mamy modelu atrybucji.
QID144_Choice2,Model ostatniego kliknięcia.
QID144_Choice3,Standardowy model oparty na regułach (np. rozkład czasowy).
QID144_Choice4,Model oparty na niestandardowych regułach opracowany zgodnie z naszymi wytycznymi.
QID144_Choice5,"Model algorytmiczny lub oparty na danych, cząstkowy, uwzględniający różne interakcje."
QID145_QuestionText,Jakie punkty danych są uwzględniane w modelu atrybucji Twojej firmy? (Zaznacz wszystkie prawidłowe odpowiedzi).
QID145_Choice1,Nie mamy modelu atrybucji.
QID145_Choice2,"Używamy danych z kilku kanałów internetowych (np. wideo, sieć wyszukiwania i reklamowa)."
QID145_Choice3,Używamy danych ze wszystkich kanałów internetowych.
QID145_Choice4,Uwzględniamy zachowania na różnych urządzeniach.
QID145_Choice5,"Uwzględniamy zachowania offline, takie jak wizyty w punktach sprzedaży detalicznej lub interakcje z telefonicznym centrum obsługi klienta."
QID142_QuestionText,W jakim stopniu raporty w Twojej organizacji są skonsolidowane i zintegrowane?
QID142_Choice1,Raportowanie odbywa się osobno dla każdego kanału i każdej platformy. Skuteczność jest oceniana na poziomie kampanii.
QID142_Choice2,Przeprowadzamy deduplikację w sieciach wyszukiwania i reklamowej i uwzględniamy zachowanie na różnych urządzeniach.
QID142_Choice3,"Mamy jedno kompleksowe źródło danych dla kanału internetowego. Uwzględniane są wszystkie punkty kontaktu mediów cyfrowych i zachowanie na stronie internetowej. Uwzględniamy niektóre dane niecyfrowe, takie jak CRM lub wizyty w sklepie stacjonarnym."
QID142_Choice4,"Mamy jedno kompleksowe źródło danych dla kanałów internetowych i nieinternetowych. Obejmuje to zachowania konsumentów w sklepach, dane produktów i dane CRM."
QID147_QuestionText,Jak można opisać mechanizmy uzyskiwania informacji zwrotnej wdrożone w aktywacji marketingowej Twojej organizacji?
QID147_Choice1,Metoda prób i błędów. Wyniki wpływają na planowanie roczne.
QID147_Choice2,Regularne testy. Wyniki wpływają na następną kampanię.
QID147_Choice3,Ciągłe testy. Wyniki służą do optymalizacji kampanii na bieżąco.
QID147_Choice4,Ciągłe testy. Wyniki na bieżąco wpływają na kampanie w różnych kanałach.
QID187_QuestionText,"<div class=""dmb-survey-banner""><div class=""dmb-survey-banner__logo""><svg width=""68px"" height=""22px"" viewBox=""0 0 68 22"" xmlns=""http://www.w3.org/2000/svg""><g fill=""none"" fill-rule=""evenodd""><path d=""M8.53 16.814C3.895 16.814 0 13.042 0 8.407 0 3.773 3.896 0 8.53 0c2.563 0 4.388 1.005 5.762 2.317l-1.62 1.62c-.984-.923-2.317-1.64-4.143-1.64-3.382 0-6.027 2.727-6.027 6.11 0 3.383 2.645 6.11 6.027 6.11 2.195 0 3.445-.881 4.245-1.681.656-.656 1.087-1.6 1.25-2.891H8.53V7.648h7.73c.083.41.124.903.124 1.435 0 1.723-.472 3.856-1.989 5.373-1.476 1.538-3.363 2.358-5.865 2.358z"" fill=""#4285F4""></path><path d=""M26.004 11.4c0-1.947-1.39-3.28-3-3.28s-3 1.333-3 3.28c0 1.928 1.39 3.281 3 3.281s3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413s-5.335-2.297-5.335-5.413c0-3.138 2.396-5.413 5.335-5.413 2.94 0 5.335 2.275 5.335 5.413"" fill=""#EA4335""></path><path d=""M37.964 11.4c0-1.947-1.389-3.28-3-3.28-1.61 0-3 1.333-3 3.28 0 1.928 1.39 3.281 3 3.281 1.611 0 3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413-2.94 0-5.335-2.297-5.335-5.413 0-3.138 2.395-5.413 5.335-5.413s5.335 2.275 5.335 5.413"" fill=""#FBBC05""></path><path d=""M49.869 11.421c0-1.906-1.272-3.302-2.891-3.302-1.64 0-3.014 1.396-3.014 3.302 0 1.887 1.374 3.26 3.014 3.26 1.62 0 2.89-1.373 2.89-3.26zm2.091-5.106v9.72c0 3.998-2.358 5.639-5.146 5.639-2.625 0-4.203-1.764-4.798-3.2l2.07-.86c.37.88 1.272 1.927 2.728 1.927 1.783 0 2.891-1.107 2.891-3.178v-.78h-.083c-.533.657-1.558 1.23-2.849 1.23-2.707 0-5.187-2.357-5.187-5.392 0-3.055 2.48-5.434 5.187-5.434 1.291 0 2.316.575 2.85 1.21h.082v-.882h2.255z"" fill=""#4285F4""></path><path fill=""#34A853"" d=""M53.75 16.486h2.379V.574h-2.38z""></path><path d=""M59.8 11.237l4.839-2.01c-.268-.676-1.067-1.148-2.01-1.148-1.21 0-2.89 1.066-2.83 3.158m5.68 1.948l1.845 1.23c-.594.882-2.03 2.399-4.51 2.399-3.075 0-5.297-2.379-5.297-5.413 0-3.22 2.241-5.414 5.03-5.414 2.809 0 4.183 2.235 4.634 3.445l.245.615-7.238 2.994c.555 1.086 1.415 1.64 2.626 1.64 1.209 0 2.05-.594 2.665-1.496"" fill=""#EA4335""></path></g></svg></div><div class=""dmb-survey-banner__title"">${e://Field/company_name} <br>➘➘➘Ocena dojrzałości cyfrowej➘➘➘</div></div>"
QID103_QuestionText,"<h2 class=""dmb-dimension-header h-c-headline h-c-headline--two""><img class=""dmb-dimension-header__icon dmb-u-m-b-s"" src=""${e://Field/static_url}/img/${e://Field/tenant}/dimensions/ads.svg"">➘➘➘Zasoby i reklamy➘➘➘</h2>➘➘➘Jak można opisać powiązania między kanałami komunikacji w Twojej organizacji?"
QID103_Choice1,"W dużej mierze niezależne od kanału (np. kampanie displayowe, w sieci wyszukiwania, społecznościowe, e-mailowe itp.)."
QID103_Choice2,Koordynowana we wszystkich kanałach online bez wspólnej osi czasu.
QID103_Choice3,Koordynowana we wszystkich kanałach online ze wspólną osią czasu.
QID103_Choice4,Koordynowana we wszystkich kanałach online i offline ze wspólną osią czasu.
QID104_QuestionText,Jak współpracują ze sobą zespoły zajmujące się kupowaniem przestrzeni reklamowej i tworzeniem kreacji?
QID104_Choice1,"Ograniczona współpraca lub brak współpracy, oddzielne lub odizolowane procesy kreatywne, osobne zestawy narzędzi."
QID104_Choice2,"Ograniczona sformalizowana współpraca zespołów ds. zakupów i kreacji, osobne zestawy narzędzi."
QID104_Choice3,"Zespoły ds. zakupów i kreacji współpracują ze sobą, korzystając ze wspólnych narzędzi do zarządzania projektami."
QID104_Choice4,"Zespoły ds. zakupów i kreacji pracują cały czas razem – od planowania do realizacji – korzystając z narzędzi do współpracy, takich jak platforma CMP."
QID105_QuestionText,Jak można opisać metody testowania i ulepszania skuteczności kreacji w Twojej organizacji?
QID105_Choice1,Ograniczony zakres testów lub brak testów.
QID105_Choice2,"Odrębne działania, które nie są częścią większego planu testów."
QID105_Choice3,Regularne testy A/B. Wyniki są często wykorzystywane w następnej kampanii. Brak współpracy między zespołami lub współpraca w ograniczonym zakresie.
QID105_Choice4,"Połączenie testów A/B, ankiet konsumenckich i optymalizacji w czasie rzeczywistym. Wyniki są zawsze przekazywane do następnej kampanii i udostępniane zespołom cyfrowym."
QID105_Choice5,"Połączenie testów A/B, ankiet konsumenckich i optymalizacji w czasie rzeczywistym. Wyniki są zawsze przekazywane do następnej kampanii i udostępniane zespołom cyfrowym i niecyfrowym."
QID102_QuestionText,"Które z poniższych stwierdzeń najlepiej opisuje zakres, w jakim Twoja organizacja wykorzystuje dane do podejmowania decyzji związanych z tworzeniem kreacji?"
QID102_Choice1,Kreacje powstają głównie na podstawie zasad marki i produktu.
QID102_Choice2,Kreacje powstają głównie na podstawie statystyk z określonego kanału internetowego i zaawansowanych analiz.
QID102_Choice3,Kreacje powstają głównie na podstawie statystyk ze wszystkich kanałów internetowych i zaawansowanych analiz.
QID102_Choice4,Kreacje powstają głównie na podstawie statystyk z kanałów internetowych i nieinternetowych oraz zasad dotyczących marki i produktu.
QID106_QuestionText,"Jak szybko główne kanały Twojej firmy ładują się na urządzeniach mobilnych (np. witryna mobilna, aplikacja natywna, aplikacja internetowa)?➘<p class=""h-c-footnote"">Możesz <a href=""https://testmysite.withgoogle.com/"" target=""_blank"" rel=""noopener"">przeprowadzić test, korzystając z tego narzędzia.</a></p>"
QID106_Choice1,8 sekund lub dłużej.
QID106_Choice2,"Od 8 do 5,1 sekundy."
QID106_Choice3,"Od 5 do 3,1 sekundy."
QID106_Choice4,3 sekundy lub krócej.
QID107_QuestionText,Jak oceniasz wygodę użytkowników mobilnych głównych kanałów Twojej firmy?
QID107_Choice1,Nie zainwestowaliśmy w rozwiązania tylko dla użytkowników mobilnych.
QID107_Choice2,"Podstawowe funkcje działają dobrze na urządzeniach mobilnych, ale ogólnie kanały nie są zoptymalizowane pod kątem korzystania z urządzeń mobilnych."
QID107_Choice3,Użytkownicy mobilni mogą wygodnie korzystać ze wszystkich naszych kanałów.
QID107_Choice4,"Nasze rozwiązanie wykorzystuje najnowsze możliwości mobilne (np. pojedyncze logowanie, przyspieszone strony mobilne, progresywne aplikacje internetowe, aplikacje błyskawiczne) i jest uważane za najlepsze w swojej klasie."
QID108_QuestionText,"Jakich metod używa Twoja organizacja, by dostosować swój główny kanał (np. witryna, aplikacja natywna, aplikacja internetowa)?"
QID108_Choice1,Nie używamy personalizacji stron.
QID108_Choice2,Podstawowa personalizacja strony na podstawie kilku segmentów klientów (np. nowych i zalogowanych użytkowników).
QID108_Choice3,Zaawansowana personalizacja witryny z wykorzystaniem ciągłych testów opartych na danych historycznych i modelowaniu predykcyjnym w czasie rzeczywistym (np. rekomendacja produktu). Używamy głównie danych online.
QID108_Choice4,Zaawansowana personalizacja witryny z wykorzystaniem ciągłych testów opartych na danych historycznych i modelowaniu predykcyjnym w czasie rzeczywistym (np. rekomendacja produktu). Korzystanie z danych online i offline (np. danych systemowych lub danych programów lojalnościowych sprzedawców).
QID109_QuestionText,Jaki poziom personalizacji przekazu stosuje Twoja organizacja w sieci reklamowej?
QID109_Choice1,Nie używamy tego kanału lub wyświetlamy ten sam przekaz wszystkim użytkownikom.
QID109_Choice2,Przekaz jest dostosowany do szerokiego zakresu segmentów (np. istniejących klientów i potencjalnych klientów).
QID109_Choice3,Przekaz jest dostosowany do wszystkich dostępnych segmentów.
QID109_Choice4,"Przekaz jest dostosowany do wszystkich dostępnych segmentów i innych danych wejściowych, takich jak lokalizacja lub pora dnia."
QID110_QuestionText,Jaki poziom personalizacji przekazu stosuje Twoja organizacja w kampaniach wideo?
QID110_Choice1,Nie używamy tego kanału lub wyświetlamy ten sam przekaz wszystkim użytkownikom.
QID110_Choice2,Przekaz jest dostosowany do szerokiego zakresu segmentów (np. istniejących klientów i potencjalnych klientów).
QID110_Choice3,Przekaz jest dostosowany do wszystkich dostępnych segmentów.
QID110_Choice4,"Przekaz jest dostosowany do wszystkich dostępnych segmentów i innych danych wejściowych, takich jak lokalizacja lub pora dnia."
QID112_QuestionText,Jaki poziom personalizacji przekazu stosuje Twoja organizacja w sieci wyszukiwania?
QID112_Choice1,Nie używamy tego kanału lub wyświetlamy ten sam przekaz wszystkim użytkownikom.
QID112_Choice2,Przekaz jest dostosowany do szerokiego zakresu segmentów (np. istniejących klientów i potencjalnych klientów).
QID112_Choice3,Przekaz jest dostosowany do wszystkich dostępnych segmentów.
QID112_Choice4,"Przekaz jest dostosowany do wszystkich dostępnych segmentów i innych danych wejściowych, takich jak lokalizacja lub pora dnia."
QID113_QuestionText,Jaki poziom personalizacji przekazu stosuje Twoja organizacja w kampaniach społecznościowych?
QID113_Choice1,Nie używamy tego kanału lub wyświetlamy ten sam przekaz wszystkim użytkownikom.
QID113_Choice2,Przekaz jest dostosowany do szerokiego zakresu segmentów (np. istniejących klientów i potencjalnych klientów).
QID113_Choice3,Przekaz jest dostosowany do wszystkich dostępnych segmentów.
QID113_Choice4,"Przekaz jest dostosowany do wszystkich dostępnych segmentów i innych danych wejściowych, takich jak lokalizacja lub pora dnia."
QID114_QuestionText,Jaki poziom personalizacji przekazu stosuje Twoja organizacja w kampaniach e-mailowych?
QID114_Choice1,Nie używamy tego kanału lub wyświetlamy ten sam przekaz wszystkim użytkownikom.
QID114_Choice2,Przekaz jest dostosowany do szerokiego zakresu segmentów (np. istniejących klientów i potencjalnych klientów).
QID114_Choice3,Przekaz jest dostosowany do wszystkich dostępnych segmentów.
QID114_Choice4,"Przekaz jest dostosowany do wszystkich dostępnych segmentów i innych danych wejściowych, takich jak lokalizacja lub pora dnia."
QID115_QuestionText,"Jak Twoja organizacja wykorzystuje dane z zasobów online, by poprawić wygodę użytkowników offline (np. w sklepach, na wydarzeniach lub w centrach telefonicznej obsługi klienta)?"
QID115_Choice1,Ograniczone wykorzystanie danych z zasobów online lub w ogóle nie wykorzystujemy tych danych.
QID115_Choice2,Od czasu do czasu dzielimy się danymi z kanałów internetowych z zespołami offline.
QID115_Choice3,"Mamy sprawny proces, którego celem jest poprawa wygody użytkowników przechodzących od zasobów online do punktów kontaktu offline."
QID115_Choice4,"Mamy sprawny proces i połączyliśmy systemy online i offline (np. korzystamy z danych analityki internetowej, by zapewniać spersonalizowane wrażenia klientom sklepów tradycyjnych)."